Channel head data points;;;;;
Field site;Channel head ID (local descriptor);Northing;Easting;Universal Transverse Mercator (UTM) Zone;Collectors
Feather River, CA;C1;4397056.32;649969.38;10N;Clubb
Feather River, CA;C4;4397180.00;650450.00;10N;Clubb
Feather River, CA;C7;4397117.24;650520.12;10N;Clubb
Feather River, CA;C9;4397477.00;650253.00;10N;Clubb
Feather River, CA;C10;4397901.00;649997.00;10N;Clubb
Feather River, CA;C13;4389956.00;645906.00;10N;Clubb
Feather River, CA;C14;4389777.00;645459.00;10N;Clubb
Feather River, CA;C15;4389746.00;645315.00;10N;Clubb
Feather River, CA;C17;4389250.00;645173.00;10N;Clubb
Feather River, CA;C19;4389168.00;645168.00;10N;Clubb
Feather River, CA;C20;4388963.00;644894.00;10N;Clubb
Feather River, CA;C23;4389351.00;645702.00;10N;Clubb
Feather River, CA;C25;4389289.00;645839.00;10N;Clubb
Feather River, CA;C26;4389333.00;645876.00;10N;Clubb
Feather River, CA;C27;4390821.00;644695.00;10N;Clubb
Mid Bailey Run, OH;TX1Ch1;4365222.00;401334.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX1Ch2;4365258.00;401362.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX1Ch3;4365282.00;401312.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX2Ch1;4365342.00;401371.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX2Ch2;4365358.00;401366.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX2Ch7.1;4365442.00;401445.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX2Ch9;4365501.00;401510.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX2Ch10;4365711.00;401481.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX2Ch11;4365711.00;401469.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX2Ch12;4365701.00;401464.00;17N;Slater/Hurst
Mid Bailey Run, OH;TX2Ch13;4365633.00;401398.00;17N;Slater/Hurst
